sender,receiver,dist
@oponiak,@rylolh,4
@oponiak,@mlrethlefsen,5
@oponiak,@emoreton47,5
@oponiak,@dbaluchi,1
@oponiak,@kdnyhan,2
@oponiak,@janicekung,1
@oponiak,@jxsiegel,1
@oponiak,@lwu5,1
@oponiak,@cddslib,2
@oponiak,@sarahclarke138,1
@oponiak,@nlm_dimrc,1
@oponiak,@lisalibrarian,2
@oponiak,@futuredocs,1
@oponiak,@alexjcarroll,1
@oponiak,@akaur0,2
@oponiak,@tonyn411,1
@oponiak,@bgreen1005,2
@oponiak,@chicalibrarian,1
@FinnBalrForeve1,@librarianlizy,2
@AnyaokuEN,@lwu5,1
@PennyMedical,@primal_annella,1
@CathVoutier,@wichor,1
@JacobyDave,@pfanderson,1
@Laura_APAC,@primal_annella,2
@sarahclarke138,@nlm_dimrc,1
@NAHSL_mla,@elainemartin2,1
@NAHSL_mla,@hmscountway,2
@NAHSL_mla,@library_connect,1
@NAHSL_mla,@simmonsslis,1
@ElaineMartin2,@hmscountway,1
@ElaineMartin2,@library_connect,1
@ElaineMartin2,@simmonsslis,1
@sarahclarke138,@mandosally,1
@sarahclarke138,@medlibassn,1
@wonderbrarian,@emoreton47,2
@valeriegp,@bobbinewman,1
@wonderbrarian,@hbrarian,1
@erdifo,@arieldeardorff,1
@erdifo,@jrnlmedlibassn,1
@MelanieLybarger,@arieldeardorff,1
@MelanieLybarger,@jrnlmedlibassn,1
@VPannabecker,@arieldeardorff,1
@VPannabecker,@jrnlmedlibassn,1
@wichor,@nylaelis,1
@wichor,@bethanyamyers,3
@VPannabecker,@tonyn411,1
@RegRab77,@kdnyhan,1
@RegRab77,@jgolds2,1
@RegRab77,@jeslibjournal,1
@fowlerbird,@kdnyhan,1
@VPannabecker,@bgreen1005,2
@VPannabecker,@mlrethlefsen,3
@VPannabecker,@hbrarian,1
@VPannabecker,@kdnyhan,3
@nylaelis,@kdnyhan,1
@bgreen1005,@bevmurph005,1
@netlibrarian,@libgirl09,1
@JenBrinley,@bobbinewman,1
@ChelseaMisquith,@jxsiegel,1
@meansell,@wichor,4
@meansell,@bethanyamyers,1
@KMH_nowinVA,@meansell,1
@hurstej,@bgreen1005,1
@hurstej,@hurstej,1
@hurstej,@mlrethlefsen,1
@jxsiegel,@janicekung,1
@alicejmeadows,@lisalibrarian,1
@oponiak,@pfanderson,1
@AnnGagne,@bobbinewman,1
@mlrethlefsen,@lulu_219,1
@InfoCybrarian,@hurstej,1
@InfoCybrarian,@jdaleprince,1
@InfoCybrarian,@infocybrarian,1
@InfoCybrarian,@in,1
@JrnlMedLibAssn,@arieldeardorff,1
@JrnlMedLibAssn,@jrnlmedlibassn,2
@LibraryBeret,@madbruwer,1
@LibraryBeret,@monashunilib,1
@LibraryBeret,@cassandrafree17,1
@bgreen1005,@kdnyhan,1
@bgreen1005,@anatomage,1
@bgreen1005,@hurstej,1
@bgreen1005,@mlrethlefsen,1
@bgreen1005,@chicalibrarian,2
@ianhamilton_,@pfanderson,1
@angspenc,@cddslib,2
@angspenc,@futuredocs,1
@sarahclarke138,@bobbinewman,1
@sarahclarke138,@wichor,1
@sarahclarke138,@wonderbrarian,2
@sarahclarke138,@getkahoot,1
@silentsstars,@wichor,1
@thartman2u,@akaur0,1
@wichor,@silentsstars,1
@sylvianursebc,@librarianlizy,1
@meansell,@flewkate,1
@NoetheMatt,@meansell,1
@NoetheMatt,@ufcjclibrarian,1
@NoetheMatt,@lisabouff,1
@NoetheMatt,@nahsl_mla,2
@NoetheMatt,@troslib,1
@NoetheMatt,@ummslibrary,1
@NoetheMatt,@lenlevin,1
@NoetheMatt,@noethematt,1
@Librarian5ever,@ttpchicago,1
@a_suiter,@caitlinc1226,1
@KayeSully,@cassandrafree17,2
@KayeSully,@lisalibrarian,1
@ChelseaMisquith,@janicekung,1
@pageaslibrary,@libris_fidelis,1
@NAHSL_mla,@yalelibrary,2
@KayeSully,@madbruwer,1
@KayeSully,@monashunilib,1
@KDNyhan,@wichor,6
@BioLibCarrie,@meansell,1
@arieldeardorff,@jrnlmedlibassn,1
@hurstej,@vcutmlibrary,1
@angspenc,@meansell,2
@UMMSLibrary,@nahsl_mla,1
@UMMSLibrary,@troslib,1
@UMMSLibrary,@ummslibrary,1
@KDNyhan,@jshira11,3
@mbbassdrlib,@alexjcarroll,1
@EMorETon47,@angspenc,2
@trosLIB,@nahsl_mla,1
@trosLIB,@troslib,1
@trosLIB,@ummslibrary,1
@NAHSL_mla,@troslib,1
@NAHSL_mla,@ummslibrary,1
@MLibraryHealthy,@billchase2edu,3
@MLibraryHealthy,@mlibraryhealthy,3
@HannahC_MLIS,@ejkiscaden,1
@billchase2edu,@mlibraryhealthy,3
@NAHSL_mla,@lenlevin,1
@NAHSL_mla,@noethematt,1
@sandiapops,@noisy_nora,1
@AJaggers324,@meansell,2
@MLibraryHealthy,@pfanderson,2
@MLibraryHealthy,@atylernix,1
@MLibraryHealthy,@bi,1
@AJaggers324,@ajaggers324,1
@PoseySessions,@noisy_nora,1
@billchase2edu,@atylernix,1
@billchase2edu,@bi,1
@ChelseaMisquith,@kdnyhan,1
@flewkate,@csoehner,1
@angspenc,@rchampieux,1
@HannahC_MLIS,@librarianlizy,1
@kristiholmes,@galterlibrary,2
@kristiholmes,@nufeinbergmed,2
@openpeonie,@runbrarian,1
@akaur0,@itskelsab,6
@KDNyhan,@jgolds2,1
@KDNyhan,@jeslibjournal,1
@angspenc,@kdnyhan,1
@RyloLH,@mlrethlefsen,1
@akaur0,@orcid_org,1
@andreaketchum,@pat_devine,1
@andreaketchum,@meansell,1
@andreaketchum,@ufhscl,1
@akaur0,@rylolh,4
@EMorETon47,@captainlibraria,3
@akaur0,@emoreton47,6
@hurstej,@jdaleprince,2
@andreaketchum,@hurstej,2
@akepsel,@tbrigham,1
@AJ_Boston,@lisalibrarian,1
@RobinRedness,@lmlibrarian,1
@AESSnews,@ucf,1
@NJASL,@kristawelz,1
@Jo_Flickinger,@futuredocs,1
@akaur0,@la_medlibrarian,1
@lisafieldsms,@pfanderson,1
@Libris_Fidelis,@lisalibrarian,1
@LibrarianWalker,@awmuseum,2
@wichor,@nahsl_mla,1
@wichor,@kdnyhan,16
@LA_MedLibrarian,@wkhealthovid,1
@AJaggers324,@aimeegogan,1
@AJaggers324,@nnlmdocline,1
@NAHSL_mla,@kdnyhan,1
@openpeonie,@chelseamisquith,1
@openpeonie,@hurstej,1
@NikiTheLib,@hurstej,1
@meansell,@ufcjclibrarian,1
@meansell,@lisabouff,1
@ChelseaMisquith,@bobbinewman,1
@ralebo06,@jxsiegel,1
@joditha78,@evardell,1
@joditha78,@medlibassn,3
@billchase2edu,@billchase2edu,1
@SosMario9,@madbruwer,1
@SosMario9,@monashunilib,1
@SosMario9,@cassandrafree17,1
@halkirkwood,@slahq,5
@aimeegogan,@nnlmdocline,1
@EvidenceRobot,@wichor,8
@kaatgeo,@lisafederer,1
@marathon_vc,@causalyai,1
@ChelseaMisquith,@librarianlizy,1
@wichor,@ufhscl,1
@Bibliosophus,@lisalibrarian,2
@joditha78,@mandosally,3
@nylaelis,@chelseamisquith,1
@LuLu_219,@ufhscl,1
@wonderbrarian,@meansell,3
@wonderbrarian,@basecamp,2
@MedEdBot,@hurstej,1
@mascher,@jovyanne,1
@mascher,@nymclibrary,1
@mascher,@autohotkey,1
@LMLibrarian,@librarianlizy,1
@noisy_nora,@springylib,1
@ucfcomhsl,@lmlibrarian,1
@NoetheMatt,@jjpionke,1
@HannahC_MLIS,@jaireeo,1
@beffuh,@jaireeo,1
@ucfcomhsl,@medlibassn,1
@wonderbrarian,@kanbanflow,1
@kiwano1,@libris_fidelis,1
@zebrafetish2000,@visualdx,1
@hurstej,@gailk,1
@ChelseaMisquith,@wonderbrarian,3
@ChelseaMisquith,@nearpod,1
@wonderbrarian,@snagit,1
@mandosally,@lapalmer14,1
@noisy_nora,@nlm_news,1
@Primal_Annella,@librarian5ever,1
@margaretdptphd,@pfanderson,2
@wonderbrarian,@nearpod,2
@Taneya,@nearpod,1
@noisy_nora,@uptodate,1
@noisy_nora,@clinicalkey,1
@wonderbrarian,@canva,1
@wonderbrarian,@padlet,1
@lwu5,@hurstej,2
@lwu5,@futuredocs,1
@beffuh,@runbrarian,1
@wonderbrarian,@liblynxconnect,1
@lwu5,@itskelsab,1
@meansell,@wonderbrarian,1
@meansell,@autohotkey,1
@aamelles,@cassandrafree17,2
@aamelles,@lisalibrarian,2
@724PhillipsK,@sitstayread,1
@openpeonie,@rchampieux,1
@PodcastLib,@wichor,1
@rchampieux,@bobbinewman,1
@pfanderson,@getkahoot,1
@glennbisignani,@bepress_dc,1
@wonderbrarian,@autohotkey,1
@pfanderson,@basecamp,1
@pfanderson,@nlm_news,1
@Taneya,@autohotkey,1
@mandosally,@nlm_news,1
@brenda_linares,@getkahoot,1
@brenda_linares,@viewpure,1
@vandervolgen,@nnlmnto,1
@vandervolgen,@nnlmsea,1
@nylaelis,@lmlibrarian,1
@evardell,@getkahoot,1
@LuLu_219,@librarianlizy,1
@HannahC_MLIS,@wonderbrarian,1
@HannahC_MLIS,@viewpure,1
@LibrarianWalker,@medlibassn,1
@nylaelis,@hbrarian,1
@Taneya,@nlm_news,3
@ChelseaMisquith,@pfanderson,1
@ChelseaMisquith,@viewpure,1
@third_iron,@krafty,1
@third_iron,@thirdiron,1
@wonderbrarian,@viewpure,2
@HilaryJasmin,@lmlibrarian,1
@pfanderson,@librarianwalker,2
@pfanderson,@mayoclinicsmn,2
@wichor,@openpeonie,1
@ChelseaMisquith,@getkahoot,1
